
[MeshData]

UVêî : 35646

UVî‘çÜ0 : { 0.555874, 0.477615 }
UVî‘çÜ1 : { 0.547349, 0.497836 }
UVî‘çÜ2 : { 0.541236, 0.47673 }
UVî‘çÜ3 : { 0.555874, 0.477615 }
UVî‘çÜ4 : { 0.547349, 0.497836 }
UVî‘çÜ5 : { 0.551805, 0.502276 }
UVî‘çÜ6 : { 0.421073, 0.867871 }
UVî‘çÜ7 : { 0.416052, 0.875914 }
UVî‘çÜ8 : { 0.411774, 0.868307 }
UVî‘çÜ9 : { 0.416052, 0.875914 }
UVî‘çÜ10 : { 0.421073, 0.867871 }
UVî‘çÜ11 : { 0.42459, 0.875798 }
UVî‘çÜ12 : { 0.605822, 0.747561 }
UVî‘çÜ13 : { 0.606465, 0.74973 }
UVî‘çÜ14 : { 0.606565, 0.747517 }
UVî‘çÜ15 : { 0.606565, 0.747517 }
UVî‘çÜ16 : { 0.606465, 0.74973 }
UVî‘çÜ17 : { 0.607158, 0.750793 }
UVî‘çÜ18 : { 0.605078, 0.747604 }
UVî‘çÜ19 : { 0.606414, 0.750837 }
UVî‘çÜ20 : { 0.606465, 0.74973 }
UVî‘çÜ21 : { 0.605078, 0.747604 }
UVî‘çÜ22 : { 0.606465, 0.74973 }
UVî‘çÜ23 : { 0.605822, 0.747561 }
UVî‘çÜ24 : { 0.606414, 0.750837 }
UVî‘çÜ25 : { 0.607158, 0.750793 }
UVî‘çÜ26 : { 0.606465, 0.74973 }
UVî‘çÜ27 : { 0.607158, 0.750793 }
UVî‘çÜ28 : { 0.606414, 0.750837 }
UVî‘çÜ29 : { 0.607751, 0.754069 }
UVî‘çÜ30 : { 0.413244, 0.965906 }
UVî‘çÜ31 : { 0.413636, 0.96533 }
UVî‘çÜ32 : { 0.413409, 0.965248 }
UVî‘çÜ33 : { 0.413409, 0.965248 }
UVî‘çÜ34 : { 0.412935, 0.966153 }
UVî‘çÜ35 : { 0.413244, 0.965906 }
UVî‘çÜ36 : { 0.604568, 0.74142 }
UVî‘çÜ37 : { 0.605822, 0.747561 }
UVî‘çÜ38 : { 0.606565, 0.747517 }
UVî‘çÜ39 : { 0.605822, 0.747561 }
UVî‘çÜ40 : { 0.604568, 0.74142 }
UVî‘çÜ41 : { 0.603431, 0.741669 }
UVî‘çÜ42 : { 0.605822, 0.747561 }
UVî‘çÜ43 : { 0.603431, 0.741669 }
UVî‘çÜ44 : { 0.605078, 0.747604 }
UVî‘çÜ45 : { 0.602295, 0.741918 }
UVî‘çÜ46 : { 0.605078, 0.747604 }
UVî‘çÜ47 : { 0.603431, 0.741669 }
UVî‘çÜ48 : { 0.605432, 0.749853 }
UVî‘çÜ49 : { 0.605078, 0.747604 }
UVî‘çÜ50 : { 0.604273, 0.747745 }
UVî‘çÜ51 : { 0.606414, 0.750837 }
UVî‘çÜ52 : { 0.605078, 0.747604 }
UVî‘çÜ53 : { 0.605432, 0.749853 }
UVî‘çÜ54 : { 0.413162, 0.966235 }
UVî‘çÜ55 : { 0.412935, 0.966153 }
UVî‘çÜ56 : { 0.412461, 0.967058 }
UVî‘çÜ57 : { 0.412935, 0.966153 }
UVî‘çÜ58 : { 0.413162, 0.966235 }
UVî‘çÜ59 : { 0.413244, 0.965906 }
UVî‘çÜ60 : { 0.605609, 0.750977 }
UVî‘çÜ61 : { 0.606414, 0.750837 }
UVî‘çÜ62 : { 0.605432, 0.749853 }
UVî‘çÜ63 : { 0.606414, 0.750837 }
UVî‘çÜ64 : { 0.605609, 0.750977 }
UVî‘çÜ65 : { 0.607751, 0.754069 }
UVî‘çÜ66 : { 0.413244, 0.965906 }
UVî‘çÜ67 : { 0.413863, 0.965411 }
UVî‘çÜ68 : { 0.413636, 0.96533 }
UVî‘çÜ69 : { 0.413162, 0.966235 }
UVî‘çÜ70 : { 0.413863, 0.965411 }
UVî‘çÜ71 : { 0.413244, 0.965906 }
UVî‘çÜ72 : { 0.416027, 0.962018 }
UVî‘çÜ73 : { 0.413636, 0.96533 }
UVî‘çÜ74 : { 0.416444, 0.962091 }
UVî‘çÜ75 : { 0.413636, 0.96533 }
UVî‘çÜ76 : { 0.416027, 0.962018 }
UVî‘çÜ77 : { 0.413409, 0.965248 }
UVî‘çÜ78 : { 0.601041, 0.735777 }
UVî‘çÜ79 : { 0.603431, 0.741669 }
UVî‘çÜ80 : { 0.60257, 0.735322 }
UVî‘çÜ81 : { 0.604568, 0.74142 }
UVî‘çÜ82 : { 0.60257, 0.735322 }
UVî‘çÜ83 : { 0.603431, 0.741669 }
UVî‘çÜ84 : { 0.601041, 0.735777 }
UVî‘çÜ85 : { 0.602295, 0.741918 }
UVî‘çÜ86 : { 0.603431, 0.741669 }
UVî‘çÜ87 : { 0.602295, 0.741918 }
UVî‘çÜ88 : { 0.601041, 0.735777 }
UVî‘çÜ89 : { 0.599512, 0.736232 }
UVî‘çÜ90 : { 0.604273, 0.747745 }
UVî‘çÜ91 : { 0.602295, 0.741918 }
UVî‘çÜ92 : { 0.601287, 0.742057 }
UVî‘çÜ93 : { 0.602295, 0.741918 }
UVî‘çÜ94 : { 0.604273, 0.747745 }
UVî‘çÜ95 : { 0.605078, 0.747604 }
UVî‘çÜ96 : { 0.603467, 0.747886 }
UVî‘çÜ97 : { 0.605609, 0.750977 }
UVî‘çÜ98 : { 0.605432, 0.749853 }
UVî‘çÜ99 : { 0.603467, 0.747886 }
UVî‘çÜ100 : { 0.605432, 0.749853 }
UVî‘çÜ101 : { 0.604273, 0.747745 }
UVî‘çÜ102 : { 0.413374, 0.966153 }
UVî‘çÜ103 : { 0.413162, 0.966235 }
UVî‘çÜ104 : { 0.412461, 0.967058 }
UVî‘çÜ105 : { 0.413162, 0.966235 }
UVî‘çÜ106 : { 0.413374, 0.966153 }
