
[MeshData]

UVêî : 2202

UVî‘çÜ0 : { 0.106576, 0.313379 }
UVî‘çÜ1 : { 0.10497, 0.348587 }
UVî‘çÜ2 : { 0.0895732, 0.348587 }
UVî‘çÜ3 : { 0.10497, 0.348587 }
UVî‘çÜ4 : { 0.12916, 0.313379 }
UVî‘çÜ5 : { 0.117454, 0.348587 }
UVî‘çÜ6 : { 0.412147, 0.295471 }
UVî‘çÜ7 : { 0.428583, 0.295471 }
UVî‘çÜ8 : { 0.412291, 0.304425 }
UVî‘çÜ9 : { 0.12916, 0.313379 }
UVî‘çÜ10 : { 0.125144, 0.348587 }
UVî‘çÜ11 : { 0.117454, 0.348587 }
UVî‘çÜ12 : { 0.386629, 0.304425 }
UVî‘çÜ13 : { 0.412147, 0.295471 }
UVî‘çÜ14 : { 0.412291, 0.304425 }
UVî‘çÜ15 : { 0.412147, 0.295471 }
UVî‘çÜ16 : { 0.386629, 0.304425 }
UVî‘çÜ17 : { 0.385961, 0.295471 }
UVî‘çÜ18 : { 0.20502, 0.348587 }
UVî‘çÜ19 : { 0.200723, 0.313379 }
UVî‘çÜ20 : { 0.214162, 0.348587 }
UVî‘çÜ21 : { 0.333101, 0.328653 }
UVî‘çÜ22 : { 0.350532, 0.333965 }
UVî‘çÜ23 : { 0.3509, 0.348587 }
UVî‘çÜ24 : { 0.359408, 0.304425 }
UVî‘çÜ25 : { 0.385961, 0.295471 }
UVî‘çÜ26 : { 0.386629, 0.304425 }
UVî‘çÜ27 : { 0.385961, 0.295471 }
UVî‘çÜ28 : { 0.359408, 0.304425 }
UVî‘çÜ29 : { 0.358986, 0.295471 }
UVî‘çÜ30 : { 0.180827, 0.313379 }
UVî‘çÜ31 : { 0.20502, 0.348587 }
UVî‘çÜ32 : { 0.195715, 0.348587 }
UVî‘çÜ33 : { 0.0679367, 0.348587 }
UVî‘çÜ34 : { 0.106576, 0.313379 }
UVî‘çÜ35 : { 0.0799704, 0.348587 }
UVî‘çÜ36 : { 0.171004, 0.348587 }
UVî‘çÜ37 : { 0.16192, 0.313379 }
UVî‘çÜ38 : { 0.177129, 0.348587 }
UVî‘çÜ39 : { 0.319402, 0.304425 }
UVî‘çÜ40 : { 0.358986, 0.295471 }
UVî‘çÜ41 : { 0.359408, 0.304425 }
UVî‘çÜ42 : { 0.358986, 0.295471 }
UVî‘çÜ43 : { 0.319402, 0.304425 }
UVî‘çÜ44 : { 0.319341, 0.295471 }
UVî‘çÜ45 : { 0.18585, 0.348587 }
UVî‘çÜ46 : { 0.16192, 0.313379 }
UVî‘çÜ47 : { 0.180827, 0.313379 }
UVî‘çÜ48 : { 0.293425, 0.304425 }
UVî‘çÜ49 : { 0.319341, 0.295471 }
UVî‘çÜ50 : { 0.319402, 0.304425 }
UVî‘çÜ51 : { 0.319341, 0.295471 }
UVî‘çÜ52 : { 0.293425, 0.304425 }
UVî‘çÜ53 : { 0.293591, 0.295471 }
UVî‘çÜ54 : { 0.218407, 0.348587 }
UVî‘çÜ55 : { 0.200723, 0.313379 }
UVî‘çÜ56 : { 0.221798, 0.348587 }
UVî‘çÜ57 : { 0.275461, 0.304425 }
UVî‘çÜ58 : { 0.293591, 0.295471 }
UVî‘çÜ59 : { 0.293425, 0.304425 }
UVî‘çÜ60 : { 0.293591, 0.295471 }
UVî‘çÜ61 : { 0.275461, 0.304425 }
UVî‘çÜ62 : { 0.275797, 0.295471 }
UVî‘çÜ63 : { 0.200723, 0.313379 }
UVî‘çÜ64 : { 0.218407, 0.348587 }
UVî‘çÜ65 : { 0.214162, 0.348587 }
UVî‘çÜ66 : { 0.3509, 0.348587 }
UVî‘çÜ67 : { 0.350532, 0.333965 }
UVî‘çÜ68 : { 0.363071, 0.348587 }
UVî‘çÜ69 : { 0.385071, 0.348587 }
UVî‘çÜ70 : { 0.387297, 0.313379 }
UVî‘çÜ71 : { 0.395716, 0.348587 }
