
[MeshData]

UVêî : 1662

UVî‘çÜ0 : { 0.676021, 0.881347 }
UVî‘çÜ1 : { 0.668364, 0.926777 }
UVî‘çÜ2 : { 0.710034, 0.920531 }
UVî‘çÜ3 : { 0.111556, 0.470214 }
UVî‘çÜ4 : { 0.111697, 0.503223 }
UVî‘çÜ5 : { 0.034989, 0.503223 }
UVî‘çÜ6 : { 0.129277, 0.529721 }
UVî‘çÜ7 : { 0.152394, 0.529721 }
UVî‘çÜ8 : { 0.15218, 0.562729 }
UVî‘çÜ9 : { 0.702094, 0.470214 }
UVî‘çÜ10 : { 0.775257, 0.470214 }
UVî‘çÜ11 : { 0.766568, 0.503223 }
UVî‘çÜ12 : { 0.502956, 0.470214 }
UVî‘çÜ13 : { 0.561775, 0.470214 }
UVî‘çÜ14 : { 0.564492, 0.503223 }
UVî‘çÜ15 : { 0.319428, 0.503223 }
UVî‘çÜ16 : { 0.316715, 0.470214 }
UVî‘çÜ17 : { 0.353296, 0.470214 }
UVî‘çÜ18 : { 0.353296, 0.470214 }
UVî‘çÜ19 : { 0.392694, 0.470214 }
UVî‘çÜ20 : { 0.391088, 0.503223 }
UVî‘çÜ21 : { 0.750865, 0.914659 }
UVî‘çÜ22 : { 0.761765, 0.87421 }
UVî‘çÜ23 : { 0.72084, 0.878369 }
UVî‘çÜ24 : { 0.628043, 0.503223 }
UVî‘çÜ25 : { 0.627259, 0.470214 }
UVî‘çÜ26 : { 0.651311, 0.470214 }
UVî‘çÜ27 : { 0.392694, 0.470214 }
UVî‘çÜ28 : { 0.44349, 0.470214 }
UVî‘çÜ29 : { 0.444226, 0.503223 }
UVî‘çÜ30 : { 0.277187, 0.562729 }
UVî‘çÜ31 : { 0.262537, 0.562729 }
UVî‘çÜ32 : { 0.26052, 0.529721 }
UVî‘çÜ33 : { 0.761765, 0.87421 }
UVî‘çÜ34 : { 0.750865, 0.914659 }
UVî‘çÜ35 : { 0.80083, 0.91051 }
UVî‘çÜ36 : { 0.156509, 0.470214 }
UVî‘çÜ37 : { 0.219062, 0.470214 }
UVî‘çÜ38 : { 0.219062, 0.503223 }
UVî‘çÜ39 : { 0.587046, 0.562729 }
UVî‘çÜ40 : { 0.56343, 0.562729 }
UVî‘çÜ41 : { 0.565029, 0.529721 }
UVî‘çÜ42 : { 0.785269, 0.738522 }
UVî‘çÜ43 : { 0.779207, 0.714601 }
UVî‘çÜ44 : { 0.740201, 0.717381 }
UVî‘çÜ45 : { 0.698749, 0.744526 }
UVî‘çÜ46 : { 0.697404, 0.716124 }
UVî‘çÜ47 : { 0.650088, 0.7135 }
UVî‘çÜ48 : { 0.697404, 0.716124 }
UVî‘çÜ49 : { 0.698749, 0.744526 }
UVî‘çÜ50 : { 0.740965, 0.74378 }
UVî‘çÜ51 : { 0.814335, 0.865426 }
UVî‘çÜ52 : { 0.827019, 0.816598 }
UVî‘çÜ53 : { 0.774798, 0.821325 }
UVî‘çÜ54 : { 0.761765, 0.87421 }
UVî‘çÜ55 : { 0.774798, 0.821325 }
UVî‘çÜ56 : { 0.729506, 0.824397 }
UVî‘çÜ57 : { 0.219125, 0.125519 }
UVî‘çÜ58 : { 0.22068, 0.095088 }
UVî‘çÜ59 : { 0.300407, 0.12644 }
UVî‘çÜ60 : { 0.219125, 0.125519 }
UVî‘çÜ61 : { 0.164826, 0.125316 }
UVî‘çÜ62 : { 0.22068, 0.095088 }
UVî‘çÜ63 : { 0.224237, 0.056234 }
UVî‘çÜ64 : { 0.302624, 0.054216 }
UVî‘çÜ65 : { 0.22068, 0.095088 }
UVî‘çÜ66 : { 0.224237, 0.056234 }
UVî‘çÜ67 : { 0.22068, 0.095088 }
UVî‘çÜ68 : { 0.191105, 0.057943 }
UVî‘çÜ69 : { 0.191105, 0.057943 }
UVî‘çÜ70 : { 0.190744, 0.032843 }
UVî‘çÜ71 : { 0.224237, 0.056234 }
UVî‘çÜ72 : { 0.296236, 0.304856 }
UVî‘çÜ73 : { 0.178912, 0.304037 }
UVî‘çÜ74 : { 0.23233, 0.220641 }
UVî‘çÜ75 : { 0.297699, 0.137635 }
UVî‘çÜ76 : { 0.296968, 0.221246 }
UVî‘çÜ77 : { 0.227085, 0.136836 }
UVî‘çÜ78 : { 0.082307, 0.087689 }
UVî‘çÜ79 : { 0.064607, 0.082738 }
UVî‘çÜ80 : { 0.094459, 0.073351 }
UVî‘çÜ81 : { 0.064607, 0.082738 }
UVî‘çÜ82 : { 0.10866, 0.042781 }
UVî‘çÜ83 : { 0.094459, 0.073351 }
UVî‘çÜ84 : { 0.72084, 0.878369 }
UVî‘çÜ85 : { 0.676021, 0.881347 }
UVî‘çÜ86 : { 0.710034, 0.920531 }
UVî‘çÜ87 : { 0.729506, 0.824397 }
UVî‘çÜ88 : { 0.683481, 0.826789 }
UVî‘çÜ89 : { 0.72084, 0.878369 }
UVî‘çÜ90 : { 0.540444, 0.361165 }
UVî‘çÜ91 : { 0.491657, 0.40132 }
UVî‘çÜ92 : { 0.510511, 0.373833 }
UVî‘çÜ93 : { 0.523349, 0.360275 }
UVî‘çÜ94 : { 0.540444, 0.361165 }
UVî‘çÜ95 : { 0.510511, 0.373833 }
UVî‘çÜ96 : { 0.508421, 0.041765 }
UVî‘çÜ97 : { 0.545073, 0.086468 }
UVî‘çÜ98 : { 0.513527, 0.072405 }
UVî‘çÜ99 : { 0.496183, 0.064737 }
UVî‘çÜ100 : { 0.508421, 0.041765 }
UVî‘çÜ101 : { 0.513527, 0.072405 }
UVî‘çÜ102 : { 0.113152, 0.38191 }
UVî‘çÜ103 : { 0.10763, 0.404631 }
UVî‘çÜ104 : { 0.093431, 0.37419 }
UVî‘çÜ105 : { 0.10763, 0.404631 }
UVî‘çÜ106 : { 0.062275, 0.364464 }
UVî‘çÜ107 : { 0.093431, 0.37419 }
UVî‘çÜ108 : { 0.668364, 0.926777 }
UVî‘çÜ109 : { 0.676021, 0.881347 }
UVî‘çÜ110 : { 0.624109, 0.884969 }
