
[MeshData]

UVêî : 13674

UVî‘çÜ0 : { 0.539627, 0.511924 }
UVî‘çÜ1 : { 0.51762, 0.461704 }
UVî‘çÜ2 : { 0.520603, 0.511454 }
UVî‘çÜ3 : { 0.492587, 0.726226 }
UVî‘çÜ4 : { 0.492587, 0.698252 }
UVî‘çÜ5 : { 0.481048, 0.697984 }
UVî‘çÜ6 : { 0.481048, 0.697984 }
UVî‘çÜ7 : { 0.477131, 0.726288 }
UVî‘çÜ8 : { 0.492587, 0.726226 }
UVî‘çÜ9 : { 0.539627, 0.511924 }
UVî‘çÜ10 : { 0.524767, 0.602116 }
UVî‘çÜ11 : { 0.539627, 0.602357 }
UVî‘çÜ12 : { 0.524767, 0.602116 }
UVî‘çÜ13 : { 0.539627, 0.511924 }
UVî‘çÜ14 : { 0.520603, 0.511454 }
UVî‘çÜ15 : { 0.394495, 0.605895 }
UVî‘çÜ16 : { 0.386584, 0.613067 }
UVî‘çÜ17 : { 0.406799, 0.619502 }
UVî‘çÜ18 : { 0.424927, 0.533458 }
UVî‘çÜ19 : { 0.436849, 0.534188 }
UVî‘çÜ20 : { 0.428665, 0.520349 }
UVî‘çÜ21 : { 0.436849, 0.534188 }
UVî‘çÜ22 : { 0.424927, 0.533458 }
UVî‘çÜ23 : { 0.434856, 0.546207 }
UVî‘çÜ24 : { 0.167047, 0.492862 }
UVî‘çÜ25 : { 0.189807, 0.492275 }
UVî‘çÜ26 : { 0.167047, 0.467078 }
UVî‘çÜ27 : { 0.250118, 0.442924 }
UVî‘çÜ28 : { 0.252246, 0.476093 }
UVî‘çÜ29 : { 0.273182, 0.441378 }
UVî‘çÜ30 : { 0.481887, 0.413817 }
UVî‘çÜ31 : { 0.482879, 0.405436 }
UVî‘çÜ32 : { 0.487252, 0.404849 }
UVî‘çÜ33 : { 0.383558, 0.61581 }
UVî‘çÜ34 : { 0.360503, 0.612576 }
UVî‘çÜ35 : { 0.372436, 0.602415 }
UVî‘çÜ36 : { 0.383558, 0.61581 }
UVî‘çÜ37 : { 0.372436, 0.602415 }
UVî‘çÜ38 : { 0.386584, 0.613067 }
UVî‘çÜ39 : { 0.196762, 0.465213 }
UVî‘çÜ40 : { 0.208096, 0.480006 }
UVî‘çÜ41 : { 0.215314, 0.458177 }
UVî‘çÜ42 : { 0.196441, 0.523107 }
UVî‘çÜ43 : { 0.227558, 0.525523 }
UVî‘çÜ44 : { 0.206826, 0.497249 }
UVî‘çÜ45 : { 0.250118, 0.442924 }
UVî‘çÜ46 : { 0.23032, 0.450855 }
UVî‘çÜ47 : { 0.252246, 0.476093 }
UVî‘çÜ48 : { 0.208096, 0.480006 }
UVî‘çÜ49 : { 0.189807, 0.492275 }
UVî‘çÜ50 : { 0.206826, 0.497249 }
UVî‘çÜ51 : { 0.437484, 0.605222 }
UVî‘çÜ52 : { 0.435438, 0.592688 }
