
[MeshData]

UVêî : 1938

UVî‘çÜ0 : { 0.953405, 0.67497 }
UVî‘çÜ1 : { 0.918407, 0.674192 }
UVî‘çÜ2 : { 0.953416, 0.747338 }
UVî‘çÜ3 : { 0.918407, 0.674192 }
UVî‘çÜ4 : { 0.922299, 0.747338 }
UVî‘çÜ5 : { 0.953416, 0.747338 }
UVî‘çÜ6 : { 0.961346, 0.23394 }
UVî‘çÜ7 : { 0.966495, 0.137374 }
UVî‘çÜ8 : { 0.957996, 0.233485 }
UVî‘çÜ9 : { 0.966495, 0.137374 }
UVî‘çÜ10 : { 0.981215, 0.23563 }
UVî‘çÜ11 : { 0.97965, 0.138471 }
UVî‘çÜ12 : { 0.981215, 0.23563 }
UVî‘çÜ13 : { 0.966495, 0.137374 }
UVî‘çÜ14 : { 0.961346, 0.23394 }
UVî‘çÜ15 : { 0.92357, 0.97752 }
UVî‘çÜ16 : { 0.922708, 0.852519 }
UVî‘çÜ17 : { 0.912227, 0.852519 }
UVî‘çÜ18 : { 0.912227, 0.852519 }
UVî‘çÜ19 : { 0.907511, 0.97752 }
UVî‘çÜ20 : { 0.92357, 0.97752 }
UVî‘çÜ21 : { 0.875374, 0.97752 }
UVî‘çÜ22 : { 0.883938, 0.852519 }
UVî‘çÜ23 : { 0.871247, 0.852519 }
UVî‘çÜ24 : { 0.871247, 0.852519 }
UVî‘çÜ25 : { 0.860957, 0.97752 }
UVî‘çÜ26 : { 0.875374, 0.97752 }
UVî‘çÜ27 : { 0.957996, 0.233485 }
UVî‘çÜ28 : { 0.959938, 0.301168 }
UVî‘çÜ29 : { 0.961346, 0.23394 }
UVî‘çÜ30 : { 0.959938, 0.301168 }
UVî‘çÜ31 : { 0.957996, 0.233485 }
UVî‘çÜ32 : { 0.950275, 0.299846 }
UVî‘çÜ33 : { 0.961346, 0.23394 }
UVî‘çÜ34 : { 0.982548, 0.302386 }
UVî‘çÜ35 : { 0.981215, 0.23563 }
UVî‘çÜ36 : { 0.982548, 0.302386 }
UVî‘çÜ37 : { 0.961346, 0.23394 }
UVî‘çÜ38 : { 0.959938, 0.301168 }
UVî‘çÜ39 : { 0.940086, 0.516074 }
UVî‘çÜ40 : { 0.952692, 0.540752 }
UVî‘çÜ41 : { 0.95255, 0.514952 }
UVî‘çÜ42 : { 0.952692, 0.540752 }
UVî‘çÜ43 : { 0.940086, 0.516074 }
UVî‘çÜ44 : { 0.936237, 0.542595 }
UVî‘çÜ45 : { 0.95255, 0.514952 }
UVî‘çÜ46 : { 0.984971, 0.539022 }
UVî‘çÜ47 : { 0.98452, 0.513029 }
UVî‘çÜ48 : { 0.984971, 0.539022 }
UVî‘çÜ49 : { 0.95255, 0.514952 }
UVî‘çÜ50 : { 0.952692, 0.540752 }
UVî‘çÜ51 : { 0.904388, 0.470896 }
UVî‘çÜ52 : { 0.909385, 0.41034 }
UVî‘çÜ53 : { 0.901242, 0.409586 }
UVî‘çÜ54 : { 0.901242, 0.409586 }
UVî‘çÜ55 : { 0.896101, 0.470367 }
UVî‘çÜ56 : { 0.904388, 0.470896 }
UVî‘çÜ57 : { 0.952705, 0.413068 }
UVî‘çÜ58 : { 0.927536, 0.412021 }
UVî‘çÜ59 : { 0.951224, 0.470594 }
UVî‘çÜ60 : { 0.927536, 0.412021 }
UVî‘çÜ61 : { 0.92286, 0.472075 }
UVî‘çÜ62 : { 0.951224, 0.470594 }
UVî‘çÜ63 : { 0.899612, 0.592848 }
UVî‘çÜ64 : { 0.901653, 0.545677 }
UVî‘çÜ65 : { 0.892655, 0.546331 }
UVî‘çÜ66 : { 0.892655, 0.546331 }
UVî‘çÜ67 : { 0.890191, 0.592889 }
UVî‘çÜ68 : { 0.899612, 0.592848 }
UVî‘çÜ69 : { 0.928726, 0.591982 }
UVî‘çÜ70 : { 0.92865, 0.543444 }
UVî‘çÜ71 : { 0.921709, 0.544221 }
UVî‘çÜ72 : { 0.921709, 0.544221 }
UVî‘çÜ73 : { 0.920612, 0.592755 }
UVî‘çÜ74 : { 0.928726, 0.591982 }
UVî‘çÜ75 : { 0.97965, 0.138471 }
UVî‘çÜ76 : { 0.978302, 0.0724939 }
UVî‘çÜ77 : { 0.966495, 0.137374 }
UVî‘çÜ78 : { 0.987916, 0.677027 }
UVî‘çÜ79 : { 0.987076, 0.747338 }
UVî‘çÜ80 : { 0.989987, 0.747338 }
UVî‘çÜ81 : { 0.987076, 0.747338 }
UVî‘çÜ82 : { 0.987916, 0.677027 }
UVî‘çÜ83 : { 0.982653, 0.676713 }
UVî‘çÜ84 : { 0.787896, 0.782625 }
