
[MeshData]

UVêî : 41058

UVî‘çÜ0 : { 0.606565, 0.747517 }
UVî‘çÜ1 : { 0.607158, 0.750793 }
UVî‘çÜ2 : { 0.606465, 0.74973 }
UVî‘çÜ3 : { 0.606565, 0.747517 }
UVî‘çÜ4 : { 0.606465, 0.74973 }
UVî‘çÜ5 : { 0.605822, 0.747561 }
UVî‘çÜ6 : { 0.606465, 0.74973 }
UVî‘çÜ7 : { 0.605078, 0.747604 }
UVî‘çÜ8 : { 0.605822, 0.747561 }
UVî‘çÜ9 : { 0.606414, 0.750837 }
UVî‘çÜ10 : { 0.605078, 0.747604 }
UVî‘çÜ11 : { 0.606465, 0.74973 }
UVî‘çÜ12 : { 0.606414, 0.750837 }
UVî‘çÜ13 : { 0.607158, 0.750793 }
UVî‘çÜ14 : { 0.607751, 0.754069 }
UVî‘çÜ15 : { 0.607158, 0.750793 }
UVî‘çÜ16 : { 0.606414, 0.750837 }
UVî‘çÜ17 : { 0.606465, 0.74973 }
UVî‘çÜ18 : { 0.604485, 0.750177 }
UVî‘çÜ19 : { 0.602853, 0.748231 }
UVî‘çÜ20 : { 0.603467, 0.747886 }
UVî‘çÜ21 : { 0.603467, 0.747886 }
UVî‘çÜ22 : { 0.605609, 0.750977 }
UVî‘çÜ23 : { 0.604485, 0.750177 }
UVî‘çÜ24 : { 0.604485, 0.750177 }
UVî‘çÜ25 : { 0.602238, 0.748576 }
UVî‘çÜ26 : { 0.602853, 0.748231 }
UVî‘çÜ27 : { 0.604994, 0.751322 }
UVî‘çÜ28 : { 0.602238, 0.748576 }
UVî‘çÜ29 : { 0.604485, 0.750177 }
UVî‘çÜ30 : { 0.605609, 0.750977 }
UVî‘çÜ31 : { 0.604994, 0.751322 }
UVî‘çÜ32 : { 0.604485, 0.750177 }
UVî‘çÜ33 : { 0.604994, 0.751322 }
UVî‘çÜ34 : { 0.605609, 0.750977 }
UVî‘çÜ35 : { 0.607751, 0.754069 }
UVî‘çÜ36 : { 0.556633, 0.936487 }
UVî‘çÜ37 : { 0.564542, 0.925918 }
UVî‘çÜ38 : { 0.56491, 0.93797 }
UVî‘çÜ39 : { 0.564542, 0.925918 }
UVî‘çÜ40 : { 0.556633, 0.936487 }
UVî‘çÜ41 : { 0.55313, 0.92258 }
UVî‘çÜ42 : { 0.548355, 0.935005 }
UVî‘çÜ43 : { 0.55313, 0.92258 }
UVî‘çÜ44 : { 0.556633, 0.936487 }
UVî‘çÜ45 : { 0.55313, 0.92258 }
UVî‘çÜ46 : { 0.548355, 0.935005 }
UVî‘çÜ47 : { 0.541718, 0.919242 }
UVî‘çÜ48 : { 0.629164, 0.989432 }
UVî‘çÜ49 : { 0.627903, 0.986479 }
UVî‘çÜ50 : { 0.628873, 0.986266 }
UVî‘çÜ51 : { 0.633089, 0.981939 }
UVî‘çÜ52 : { 0.631126, 0.985686 }
UVî‘çÜ53 : { 0.63124, 0.984576 }
UVî‘çÜ54 : { 0.633089, 0.981939 }
UVî‘çÜ55 : { 0.63124, 0.984576 }
UVî‘çÜ56 : { 0.632277, 0.982148 }
UVî‘çÜ57 : { 0.634361, 0.972282 }
UVî‘çÜ58 : { 0.634399, 0.968246 }
UVî‘çÜ59 : { 0.630156, 0.969069 }
UVî‘çÜ60 : { 0.634361, 0.972282 }
UVî‘çÜ61 : { 0.630156, 0.969069 }
UVî‘çÜ62 : { 0.631045, 0.97293 }
UVî‘çÜ63 : { 0.631934, 0.976791 }
UVî‘çÜ64 : { 0.634323, 0.976319 }
UVî‘çÜ65 : { 0.631045, 0.97293 }
UVî‘çÜ66 : { 0.634323, 0.976319 }
UVî‘çÜ67 : { 0.634361, 0.972282 }
UVî‘çÜ68 : { 0.631045, 0.97293 }
UVî‘çÜ69 : { 0.508321, 0.627754 }
UVî‘çÜ70 : { 0.480991, 0.609855 }
UVî‘çÜ71 : { 0.507875, 0.611888 }
UVî‘çÜ72 : { 0.480991, 0.609855 }
UVî‘çÜ73 : { 0.508321, 0.627754 }
UVî‘çÜ74 : { 0.47854, 0.626295 }
UVî‘çÜ75 : { 0.507875, 0.611888 }
UVî‘çÜ76 : { 0.484946, 0.59396 }
UVî‘çÜ77 : { 0.50743, 0.596023 }
UVî‘çÜ78 : { 0.484946, 0.59396 }
UVî‘çÜ79 : { 0.507875, 0.611888 }
UVî‘çÜ80 : { 0.480991, 0.609855 }
UVî‘çÜ81 : { 0.629164, 0.989432 }
UVî‘çÜ82 : { 0.628873, 0.986266 }
UVî‘çÜ83 : { 0.629729, 0.986045 }
UVî‘çÜ84 : { 0.727508, 0.971199 }
UVî‘çÜ85 : { 0.72773, 0.966386 }
UVî‘çÜ86 : { 0.728441, 0.966537 }
UVî‘çÜ87 : { 0.728441, 0.966537 }
UVî‘çÜ88 : { 0.727752, 0.973682 }
UVî‘çÜ89 : { 0.727508, 0.971199 }
UVî‘çÜ90 : { 0.730063, 0.935753 }
UVî‘çÜ91 : { 0.732938, 0.92174 }
UVî‘çÜ92 : { 0.736762, 0.9351 }
UVî‘çÜ93 : { 0.732938, 0.92174 }
UVî‘çÜ94 : { 0.741311, 0.921104 }
UVî‘çÜ95 : { 0.736762, 0.9351 }
UVî‘çÜ96 : { 0.726906, 0.956018 }
UVî‘çÜ97 : { 0.728485, 0.945886 }
UVî‘çÜ98 : { 0.72967, 0.955718 }
UVî‘çÜ99 : { 0.728485, 0.945886 }
UVî‘çÜ100 : { 0.733216, 0.945409 }
UVî‘çÜ101 : { 0.72967, 0.955718 }
UVî‘çÜ102 : { 0.725867, 0.966713 }
UVî‘çÜ103 : { 0.726466, 0.97377 }
UVî‘çÜ104 : { 0.725843, 0.97152 }
UVî‘çÜ105 : { 0.725843, 0.97152 }
UVî‘çÜ106 : { 0.725232, 0.966866 }
UVî‘çÜ107 : { 0.725867, 0.966713 }
UVî‘çÜ108 : { 0.725232, 0.966866 }
UVî‘çÜ109 : { 0.725843, 0.97152 }
UVî‘çÜ110 : { 0.724597, 0.96702 }
UVî‘çÜ111 : { 0.72583, 0.973923 }
UVî‘çÜ112 : { 0.724597, 0.96702 }
UVî‘çÜ113 : { 0.725843, 0.97152 }
UVî‘çÜ114 : { 0.725843, 0.97152 }
UVî‘çÜ115 : { 0.726466, 0.97377 }
UVî‘çÜ116 : { 0.72583, 0.973923 }
UVî‘çÜ117 : { 0.727064, 0.980826 }
UVî‘çÜ118 : { 0.72583, 0.973923 }
UVî‘çÜ119 : { 0.726466, 0.97377 }
UVî‘çÜ120 : { 0.956292, 0.990917 }
UVî‘çÜ121 : { 0.957283, 0.990073 }
UVî‘çÜ122 : { 0.957479, 0.99033 }
UVî‘çÜ123 : { 0.957479, 0.99033 }
UVî‘çÜ124 : { 0.955895, 0.991467 }
UVî‘çÜ125 : { 0.956292, 0.990917 }
UVî‘çÜ126 : { 0.957283, 0.990073 }
UVî‘çÜ127 : { 0.956292, 0.990917 }
UVî‘çÜ128 : { 0.957087, 0.989816 }
UVî‘çÜ129 : { 0.955699, 0.99121 }
UVî‘çÜ130 : { 0.957087, 0.989816 }
UVî‘çÜ131 : { 0.956292, 0.990917 }
UVî‘çÜ132 : { 0.955895, 0.991467 }
UVî‘çÜ133 : { 0.955699, 0.99121 }
UVî‘çÜ134 : { 0.956292, 0.990917 }
UVî‘çÜ135 : { 0.955699, 0.99121 }
