
[MeshData]

UVêî : 912

UVî‘çÜ0 : { 0.0956274, 0.496614 }
UVî‘çÜ1 : { 0.132826, 0.484526 }
UVî‘çÜ2 : { 0.13474, 0.496614 }
UVî‘çÜ3 : { 0.0956274, 0.496614 }
UVî‘çÜ4 : { 0.12727, 0.473624 }
UVî‘çÜ5 : { 0.132826, 0.484526 }
UVî‘çÜ6 : { 0.0956274, 0.496614 }
UVî‘çÜ7 : { 0.13474, 0.496614 }
UVî‘çÜ8 : { 0.132826, 0.508699 }
UVî‘çÜ9 : { 0.0932365, 0.496614 }
UVî‘çÜ10 : { 0.079124, 0.516037 }
UVî‘çÜ11 : { 0.0738124, 0.510726 }
UVî‘çÜ12 : { 0.0932365, 0.496614 }
UVî‘çÜ13 : { 0.0738124, 0.510726 }
UVî‘çÜ14 : { 0.070402, 0.504032 }
UVî‘çÜ15 : { 0.069227, 0.496614 }
UVî‘çÜ16 : { 0.0932365, 0.496614 }
UVî‘çÜ17 : { 0.070402, 0.504032 }
UVî‘çÜ18 : { 0.179087, 0.763857 }
UVî‘çÜ19 : { 0.228784, 0.765486 }
UVî‘çÜ20 : { 0.185301, 0.749434 }
UVî‘çÜ21 : { 0.185301, 0.749434 }
UVî‘çÜ22 : { 0.228784, 0.765486 }
UVî‘çÜ23 : { 0.217397, 0.751966 }
UVî‘çÜ24 : { 0.764914, 0.764961 }
UVî‘çÜ25 : { 0.764872, 0.756894 }
UVî‘çÜ26 : { 0.747609, 0.75813 }
UVî‘çÜ27 : { 0.730399, 0.749693 }
UVî‘çÜ28 : { 0.747218, 0.758079 }
UVî‘çÜ29 : { 0.729819, 0.757731 }
UVî‘çÜ30 : { 0.730399, 0.749693 }
UVî‘çÜ31 : { 0.731296, 0.74248 }
UVî‘çÜ32 : { 0.747218, 0.758079 }
UVî‘çÜ33 : { 0.764914, 0.764961 }
UVî‘çÜ34 : { 0.747609, 0.75813 }
UVî‘çÜ35 : { 0.764647, 0.772218 }
UVî‘çÜ36 : { 0.0956274, 0.496614 }
UVî‘çÜ37 : { 0.118617, 0.464969 }
UVî‘çÜ38 : { 0.12727, 0.473624 }
UVî‘çÜ39 : { 0.0956274, 0.496614 }
UVî‘çÜ40 : { 0.132826, 0.508699 }
UVî‘çÜ41 : { 0.12727, 0.519604 }
UVî‘çÜ42 : { 0.107714, 0.459415 }
UVî‘çÜ43 : { 0.118617, 0.464969 }
UVî‘çÜ44 : { 0.0956274, 0.496614 }
UVî‘çÜ45 : { 0.0956274, 0.496614 }
UVî‘çÜ46 : { 0.12727, 0.519604 }
UVî‘çÜ47 : { 0.118617, 0.528256 }
UVî‘çÜ48 : { 0.0956274, 0.4575 }
UVî‘çÜ49 : { 0.107714, 0.459415 }
UVî‘çÜ50 : { 0.0956274, 0.496614 }
UVî‘çÜ51 : { 0.0956274, 0.496614 }
UVî‘çÜ52 : { 0.118617, 0.528256 }
UVî‘çÜ53 : { 0.107714, 0.53381 }
UVî‘çÜ54 : { 0.0835409, 0.459415 }
UVî‘çÜ55 : { 0.0956274, 0.4575 }
UVî‘çÜ56 : { 0.0956274, 0.496614 }
UVî‘çÜ57 : { 0.0956274, 0.496614 }
