
[MeshData]

UVêî : 996

UVî‘çÜ0 : { 0.536299, 0.364194 }
UVî‘çÜ1 : { 0.529455, 0.363734 }
UVî‘çÜ2 : { 0.535948, 0.380379 }
UVî‘çÜ3 : { 0.531603, 0.407937 }
UVî‘çÜ4 : { 0.541377, 0.408949 }
UVî‘çÜ5 : { 0.531155, 0.396712 }
UVî‘çÜ6 : { 0.541349, 0.383394 }
UVî‘çÜ7 : { 0.540529, 0.396137 }
UVî‘çÜ8 : { 0.547855, 0.383394 }
UVî‘çÜ9 : { 0.551778, 0.362605 }
UVî‘çÜ10 : { 0.544063, 0.363675 }
UVî‘çÜ11 : { 0.553657, 0.380379 }
UVî‘çÜ12 : { 0.535948, 0.380379 }
UVî‘çÜ13 : { 0.544802, 0.380379 }
UVî‘çÜ14 : { 0.536299, 0.364194 }
UVî‘çÜ15 : { 0.594723, 0.359286 }
UVî‘çÜ16 : { 0.570558, 0.359418 }
UVî‘çÜ17 : { 0.593615, 0.367336 }
UVî‘çÜ18 : { 0.548408, 0.345227 }
UVî‘çÜ19 : { 0.551778, 0.362605 }
UVî‘çÜ20 : { 0.558056, 0.346167 }
UVî‘çÜ21 : { 0.531155, 0.396712 }
UVî‘çÜ22 : { 0.541349, 0.383394 }
UVî‘çÜ23 : { 0.531869, 0.383394 }
UVî‘çÜ24 : { 0.536299, 0.364194 }
UVî‘çÜ25 : { 0.544063, 0.363675 }
UVî‘çÜ26 : { 0.538761, 0.344287 }
UVî‘çÜ27 : { 0.553594, 0.394964 }
UVî‘çÜ28 : { 0.554362, 0.383394 }
UVî‘çÜ29 : { 0.547061, 0.395551 }
UVî‘çÜ30 : { 0.549384, 0.334043 }
UVî‘çÜ31 : { 0.539442, 0.335479 }
UVî‘çÜ32 : { 0.548408, 0.345227 }
UVî‘çÜ33 : { 0.539442, 0.335479 }
UVî‘çÜ34 : { 0.549384, 0.334043 }
UVî‘çÜ35 : { 0.538718, 0.327006 }
UVî‘çÜ36 : { 0.592506, 0.375386 }
UVî‘çÜ37 : { 0.581386, 0.379522 }
UVî‘çÜ38 : { 0.591035, 0.384545 }
UVî‘çÜ39 : { 0.571433, 0.367074 }
UVî‘çÜ40 : { 0.593615, 0.367336 }
UVî‘çÜ41 : { 0.570558, 0.359418 }
