
[MeshData]

UVêî : 915

UVî‘çÜ0 : { 0.232415, 0.403234 }
UVî‘çÜ1 : { 0.307971, 0.383404 }
UVî‘çÜ2 : { 0.233518, 0.378579 }
UVî‘çÜ3 : { 0.307971, 0.383404 }
UVî‘çÜ4 : { 0.232415, 0.403234 }
UVî‘çÜ5 : { 0.304798, 0.408623 }
UVî‘çÜ6 : { 0.401645, 0.0744905 }
UVî‘çÜ7 : { 0.457533, 0.139357 }
UVî‘çÜ8 : { 0.45626, 0.0784212 }
UVî‘çÜ9 : { 0.457533, 0.139357 }
UVî‘çÜ10 : { 0.401645, 0.0744905 }
UVî‘çÜ11 : { 0.390658, 0.130141 }
UVî‘çÜ12 : { 0.723846, 0.188225 }
UVî‘çÜ13 : { 0.781808, 0.0877709 }
UVî‘çÜ14 : { 0.727622, 0.114944 }
UVî‘çÜ15 : { 0.781808, 0.0877709 }
UVî‘çÜ16 : { 0.723846, 0.188225 }
UVî‘çÜ17 : { 0.810089, 0.149474 }
UVî‘çÜ18 : { 0.502162, 0.547397 }
UVî‘çÜ19 : { 0.484742, 0.558531 }
UVî‘çÜ20 : { 0.496441, 0.559639 }
UVî‘çÜ21 : { 0.484742, 0.558531 }
UVî‘çÜ22 : { 0.502162, 0.547397 }
UVî‘çÜ23 : { 0.479755, 0.546587 }
UVî‘çÜ24 : { 0.372891, 0.345377 }
UVî‘çÜ25 : { 0.47153, 0.303652 }
UVî‘çÜ26 : { 0.367484, 0.304943 }
UVî‘çÜ27 : { 0.47153, 0.303652 }
UVî‘çÜ28 : { 0.372891, 0.345377 }
UVî‘çÜ29 : { 0.478519, 0.336721 }
UVî‘çÜ30 : { 0.455207, 0.201505 }
UVî‘çÜ31 : { 0.366846, 0.24067 }
UVî‘çÜ32 : { 0.461108, 0.243946 }
UVî‘çÜ33 : { 0.366846, 0.24067 }
UVî‘çÜ34 : { 0.455207, 0.201505 }
UVî‘çÜ35 : { 0.384465, 0.197867 }
UVî‘çÜ36 : { 0.461108, 0.243946 }
UVî‘çÜ37 : { 0.367484, 0.304943 }
UVî‘çÜ38 : { 0.47153, 0.303652 }
UVî‘çÜ39 : { 0.367484, 0.304943 }
UVî‘çÜ40 : { 0.461108, 0.243946 }
UVî‘çÜ41 : { 0.366846, 0.24067 }
UVî‘çÜ42 : { 0.488777, 0.391912 }
UVî‘çÜ43 : { 0.410941, 0.446173 }
UVî‘çÜ44 : { 0.492478, 0.416544 }
UVî‘çÜ45 : { 0.410941, 0.446173 }
UVî‘çÜ46 : { 0.488777, 0.391912 }
UVî‘çÜ47 : { 0.395943, 0.419371 }
UVî‘çÜ48 : { 0.445159, 0.490579 }
UVî‘çÜ49 : { 0.503339, 0.44837 }
UVî‘çÜ50 : { 0.428851, 0.470804 }
UVî‘çÜ51 : { 0.503339, 0.44837 }
UVî‘çÜ52 : { 0.445159, 0.490579 }
UVî‘çÜ53 : { 0.507391, 0.482005 }
UVî‘çÜ54 : { 0.395943, 0.419371 }
UVî‘çÜ55 : { 0.484742, 0.370235 }
UVî‘çÜ56 : { 0.384561, 0.389088 }
UVî‘çÜ57 : { 0.484742, 0.370235 }
UVî‘çÜ58 : { 0.395943, 0.419371 }
UVî‘çÜ59 : { 0.488777, 0.391912 }
UVî‘çÜ60 : { 0.428851, 0.470804 }
UVî‘çÜ61 : { 0.492478, 0.416544 }
UVî‘çÜ62 : { 0.410941, 0.446173 }
UVî‘çÜ63 : { 0.492478, 0.416544 }
UVî‘çÜ64 : { 0.428851, 0.470804 }
UVî‘çÜ65 : { 0.503339, 0.44837 }
UVî‘çÜ66 : { 0.616294, 0.433804 }
UVî‘çÜ67 : { 0.492478, 0.416544 }
UVî‘çÜ68 : { 0.500178, 0.456281 }
UVî‘çÜ69 : { 0.616294, 0.433804 }
UVî‘çÜ70 : { 0.500178, 0.456281 }
UVî‘çÜ71 : { 0.610009, 0.467829 }
UVî‘çÜ72 : { 0.455207, 0.201505 }
UVî‘çÜ73 : { 0.583985, 0.136848 }
UVî‘çÜ74 : { 0.457533, 0.139357 }
UVî‘çÜ75 : { 0.583985, 0.136848 }
UVî‘çÜ76 : { 0.455207, 0.201505 }
UVî‘çÜ77 : { 0.595097, 0.198805 }
UVî‘çÜ78 : { 0.872432, 0.423582 }
UVî‘çÜ79 : { 0.82949, 0.381138 }
UVî‘çÜ80 : { 0.842148, 0.434328 }
UVî‘çÜ81 : { 0.82949, 0.381138 }
UVî‘çÜ82 : { 0.872432, 0.423582 }
UVî‘çÜ83 : { 0.868381, 0.366875 }
UVî‘çÜ84 : { 0.617067, 0.404449 }
UVî‘çÜ85 : { 0.492478, 0.416544 }
UVî‘çÜ86 : { 0.616294, 0.433804 }
UVî‘çÜ87 : { 0.492478, 0.416544 }
UVî‘çÜ88 : { 0.617067, 0.404449 }
UVî‘çÜ89 : { 0.488777, 0.391912 }
UVî‘çÜ90 : { 0.145014, 0.537677 }
UVî‘çÜ91 : { 0.131401, 0.572019 }
UVî‘çÜ92 : { 0.150693, 0.57518 }
UVî‘çÜ93 : { 0.131401, 0.572019 }
UVî‘çÜ94 : { 0.145014, 0.537677 }
UVî‘çÜ95 : { 0.127754, 0.534771 }
UVî‘çÜ96 : { 0.488777, 0.391912 }
UVî‘çÜ97 : { 0.617072, 0.376021 }
UVî‘çÜ98 : { 0.484742, 0.370235 }
UVî‘çÜ99 : { 0.617072, 0.376021 }
UVî‘çÜ100 : { 0.488777, 0.391912 }
UVî‘çÜ101 : { 0.617067, 0.404449 }
UVî‘çÜ102 : { 0.781808, 0.0877709 }
UVî‘çÜ103 : { 0.698851, 0.0499698 }
UVî‘çÜ104 : { 0.727622, 0.114944 }
UVî‘çÜ105 : { 0.461108, 0.243946 }
UVî‘çÜ106 : { 0.595097, 0.198805 }
UVî‘çÜ107 : { 0.455207, 0.201505 }
UVî‘çÜ108 : { 0.595097, 0.198805 }
UVî‘çÜ109 : { 0.461108, 0.243946 }
UVî‘çÜ110 : { 0.601651, 0.23948 }
UVî‘çÜ111 : { 0.800014, 0.735601 }
UVî‘çÜ112 : { 0.779877, 0.727624 }
UVî‘çÜ113 : { 0.776978, 0.748282 }
UVî‘çÜ114 : { 0.779877, 0.727624 }
UVî‘çÜ115 : { 0.765468, 0.743058 }
UVî‘çÜ116 : { 0.776978, 0.748282 }
UVî‘çÜ117 : { 0.190217, 0.694156 }
UVî‘çÜ118 : { 0.1562, 0.70413 }
UVî‘çÜ119 : { 0.174242, 0.721316 }
UVî‘çÜ120 : { 0.190217, 0.694156 }
UVî‘çÜ121 : { 0.174242, 0.721316 }
UVî‘çÜ122 : { 0.20099, 0.711684 }
UVî‘çÜ123 : { 0.651843, 0.243567 }
UVî‘çÜ124 : { 0.706319, 0.187523 }
UVî‘çÜ125 : { 0.640016, 0.196405 }
UVî‘çÜ126 : { 0.706319, 0.187523 }
UVî‘çÜ127 : { 0.651843, 0.243567 }
UVî‘çÜ128 : { 0.72357, 0.230037 }
UVî‘çÜ129 : { 0.575101, 0.078242 }
UVî‘çÜ130 : { 0.45626, 0.0784212 }
UVî‘çÜ131 : { 0.457533, 0.139357 }
UVî‘çÜ132 : { 0.457533, 0.139357 }
UVî‘çÜ133 : { 0.583985, 0.136848 }
UVî‘çÜ134 : { 0.575101, 0.078242 }
