
[MeshData]

UVêî : 1794

UVî‘çÜ0 : { 0.594898, 0.691846 }
UVî‘çÜ1 : { 0.55872, 0.738819 }
UVî‘çÜ2 : { 0.587747, 0.728709 }
UVî‘çÜ3 : { 0.901909, 0.562277 }
UVî‘çÜ4 : { 0.922655, 0.563853 }
UVî‘çÜ5 : { 0.912918, 0.52135 }
UVî‘çÜ6 : { 0.847342, 0.525447 }
UVî‘çÜ7 : { 0.839315, 0.553464 }
UVî‘çÜ8 : { 0.86458, 0.531659 }
UVî‘çÜ9 : { 0.903182, 0.52449 }
UVî‘çÜ10 : { 0.901909, 0.562277 }
UVî‘çÜ11 : { 0.912918, 0.52135 }
UVî‘çÜ12 : { 0.764982, 0.533206 }
UVî‘çÜ13 : { 0.797501, 0.530164 }
UVî‘çÜ14 : { 0.788835, 0.491828 }
UVî‘çÜ15 : { 0.806074, 0.450128 }
UVî‘çÜ16 : { 0.816801, 0.496359 }
UVî‘çÜ17 : { 0.82419, 0.407222 }
UVî‘çÜ18 : { 0.247671, 0.084727 }
UVî‘çÜ19 : { 0.245037, 0.110712 }
UVî‘çÜ20 : { 0.208852, 0.102621 }
UVî‘çÜ21 : { 0.222756, 0.0307672 }
UVî‘çÜ22 : { 0.236223, 0.032438 }
UVî‘çÜ23 : { 0.214941, 0.0561099 }
UVî‘çÜ24 : { 0.234112, 0.0642833 }
UVî‘çÜ25 : { 0.263215, 0.0518042 }
UVî‘çÜ26 : { 0.247671, 0.084727 }
UVî‘çÜ27 : { 0.273074, 0.119335 }
UVî‘çÜ28 : { 0.248624, 0.166028 }
UVî‘çÜ29 : { 0.240384, 0.127186 }
UVî‘çÜ30 : { 0.247671, 0.084727 }
UVî‘çÜ31 : { 0.277378, 0.0765566 }
UVî‘çÜ32 : { 0.245037, 0.110712 }
UVî‘çÜ33 : { 0.206182, 0.0282983 }
UVî‘çÜ34 : { 0.20387, 0.0359106 }
UVî‘çÜ35 : { 0.187839, 0.0344009 }
UVî‘çÜ36 : { 0.204603, 0.234258 }
UVî‘çÜ37 : { 0.186462, 0.237397 }
UVî‘çÜ38 : { 0.203233, 0.231585 }
UVî‘çÜ39 : { 0.210667, 0.212148 }
UVî‘çÜ40 : { 0.213196, 0.224467 }
UVî‘çÜ41 : { 0.203233, 0.231585 }
UVî‘çÜ42 : { 0.210667, 0.212148 }
UVî‘çÜ43 : { 0.218556, 0.216902 }
UVî‘çÜ44 : { 0.213196, 0.224467 }
UVî‘çÜ45 : { 0.210667, 0.212148 }
UVî‘çÜ46 : { 0.222088, 0.21022 }
UVî‘çÜ47 : { 0.218556, 0.216902 }
UVî‘çÜ48 : { 0.220148, 0.188094 }
UVî‘çÜ49 : { 0.222088, 0.21022 }
UVî‘çÜ50 : { 0.210667, 0.212148 }
UVî‘çÜ51 : { 0.222088, 0.21022 }
UVî‘çÜ52 : { 0.220148, 0.188094 }
UVî‘çÜ53 : { 0.236381, 0.18883 }
UVî‘çÜ54 : { 0.248624, 0.166028 }
UVî‘çÜ55 : { 0.241116, 0.189045 }
UVî‘çÜ56 : { 0.236381, 0.18883 }
UVî‘çÜ57 : { 0.241116, 0.189045 }
UVî‘çÜ58 : { 0.248624, 0.166028 }
UVî‘çÜ59 : { 0.255593, 0.166684 }
UVî‘çÜ60 : { 0.273074, 0.119335 }
UVî‘çÜ61 : { 0.255593, 0.166684 }
UVî‘çÜ62 : { 0.248624, 0.166028 }
UVî‘çÜ63 : { 0.255593, 0.166684 }
UVî‘çÜ64 : { 0.273074, 0.119335 }
UVî‘çÜ65 : { 0.279364, 0.117824 }
UVî‘çÜ66 : { 0.276686, 0.0989451 }
UVî‘çÜ67 : { 0.273074, 0.119335 }
UVî‘çÜ68 : { 0.245037, 0.110712 }
UVî‘çÜ69 : { 0.245037, 0.110712 }
UVî‘çÜ70 : { 0.277378, 0.0765566 }
UVî‘çÜ71 : { 0.276686, 0.0989451 }
UVî‘çÜ72 : { 0.247671, 0.084727 }
UVî‘çÜ73 : { 0.272145, 0.0651404 }
UVî‘çÜ74 : { 0.277378, 0.0765566 }
UVî‘çÜ75 : { 0.247671, 0.084727 }
UVî‘çÜ76 : { 0.263215, 0.0518042 }
UVî‘çÜ77 : { 0.272145, 0.0651404 }
UVî‘çÜ78 : { 0.234112, 0.0642833 }
UVî‘çÜ79 : { 0.256495, 0.0440639 }
UVî‘çÜ80 : { 0.263215, 0.0518042 }
UVî‘çÜ81 : { 0.234112, 0.0642833 }
UVî‘çÜ82 : { 0.246383, 0.0363019 }
UVî‘çÜ83 : { 0.256495, 0.0440639 }
UVî‘çÜ84 : { 0.73612, 0.642453 }
UVî‘çÜ85 : { 0.720469, 0.676933 }
UVî‘çÜ86 : { 0.765101, 0.638629 }
UVî‘çÜ87 : { 0.234112, 0.0642833 }
UVî‘çÜ88 : { 0.236223, 0.032438 }
UVî‘çÜ89 : { 0.246383, 0.0363019 }
UVî‘çÜ90 : { 0.629506, 0.687942 }
UVî‘çÜ91 : { 0.594898, 0.691846 }
UVî‘çÜ92 : { 0.587747, 0.728709 }
UVî‘çÜ93 : { 0.522877, 0.696389 }
UVî‘çÜ94 : { 0.562159, 0.665959 }
UVî‘çÜ95 : { 0.522838, 0.665194 }
UVî‘çÜ96 : { 0.765101, 0.638629 }
UVî‘çÜ97 : { 0.804815, 0.633128 }
UVî‘çÜ98 : { 0.835006, 0.573426 }
UVî‘çÜ99 : { 0.789376, 0.558886 }
UVî‘çÜ100 : { 0.814218, 0.558365 }
UVî‘çÜ101 : { 0.797501, 0.530164 }
UVî‘çÜ102 : { 0.797501, 0.530164 }
UVî‘çÜ103 : { 0.814218, 0.558365 }
UVî‘çÜ104 : { 0.824347, 0.529673 }
UVî‘çÜ105 : { 0.765101, 0.638629 }
UVî‘çÜ106 : { 0.720469, 0.676933 }
UVî‘çÜ107 : { 0.767498, 0.667458 }
UVî‘çÜ108 : { 0.222756, 0.0307672 }
UVî‘çÜ109 : { 0.224829, 0.0240449 }
UVî‘çÜ110 : { 0.236223, 0.032438 }
UVî‘çÜ111 : { 0.224829, 0.0240449 }
UVî‘çÜ112 : { 0.237998, 0.0257211 }
UVî‘çÜ113 : { 0.236223, 0.032438 }
UVî‘çÜ114 : { 0.73612, 0.642453 }
UVî‘çÜ115 : { 0.781252, 0.58513 }
UVî‘çÜ116 : { 0.695962, 0.647743 }
UVî‘çÜ117 : { 0.598742, 0.661476 }
UVî‘çÜ118 : { 0.561665, 0.695565 }
UVî‘çÜ119 : { 0.594898, 0.691846 }
UVî‘çÜ120 : { 0.522811, 0.73993 }
UVî‘çÜ121 : { 0.55872, 0.738819 }
UVî‘çÜ122 : { 0.561665, 0.695565 }
UVî‘çÜ123 : { 0.561665, 0.695565 }
UVî‘çÜ124 : { 0.522877, 0.696389 }
UVî‘çÜ125 : { 0.522811, 0.73993 }
UVî‘çÜ126 : { 0.832418, 0.629083 }
UVî‘çÜ127 : { 0.859314, 0.561901 }
UVî‘çÜ128 : { 0.804815, 0.633128 }
UVî‘çÜ129 : { 0.222756, 0.0307672 }
UVî‘çÜ130 : { 0.20387, 0.0359106 }
UVî‘çÜ131 : { 0.206182, 0.0282983 }
UVî‘çÜ132 : { 0.222756, 0.0307672 }
UVî‘çÜ133 : { 0.206182, 0.0282983 }
UVî‘çÜ134 : { 0.224829, 0.0240449 }
UVî‘çÜ135 : { 0.695962, 0.647743 }
UVî‘çÜ136 : { 0.629506, 0.687942 }
UVî‘çÜ137 : { 0.662619, 0.694782 }
UVî‘çÜ138 : { 0.562159, 0.665959 }
UVî‘çÜ139 : { 0.561665, 0.695565 }
UVî‘çÜ140 : { 0.598742, 0.661476 }
UVî‘çÜ141 : { 0.662619, 0.694782 }
UVî‘çÜ142 : { 0.73612, 0.642453 }
UVî‘çÜ143 : { 0.695962, 0.647743 }
UVî‘çÜ144 : { 0.598742, 0.661476 }
UVî‘çÜ145 : { 0.594898, 0.691846 }
UVî‘çÜ146 : { 0.647782, 0.656241 }
UVî‘çÜ147 : { 0.765101, 0.638629 }
UVî‘çÜ148 : { 0.807806, 0.581481 }
UVî‘çÜ149 : { 0.73612, 0.642453 }
UVî‘çÜ150 : { 0.797885, 0.658551 }
UVî‘çÜ151 : { 0.804815, 0.633128 }
UVî‘çÜ152 : { 0.767498, 0.667458 }
UVî‘çÜ153 : { 0.561665, 0.695565 }
UVî‘çÜ154 : { 0.562159, 0.665959 }
UVî‘çÜ155 : { 0.522877, 0.696389 }
UVî‘çÜ156 : { 0.767498, 0.667458 }
UVî‘çÜ157 : { 0.804815, 0.633128 }
UVî‘çÜ158 : { 0.765101, 0.638629 }
UVî‘çÜ159 : { 0.55872, 0.738819 }
UVî‘çÜ160 : { 0.594898, 0.691846 }
UVî‘çÜ161 : { 0.561665, 0.695565 }
UVî‘çÜ162 : { 0.187839, 0.0344009 }
UVî‘çÜ163 : { 0.20387, 0.0359106 }
UVî‘çÜ164 : { 0.181847, 0.0560354 }
UVî‘çÜ165 : { 0.187839, 0.0344009 }
UVî‘çÜ166 : { 0.181847, 0.0560354 }
UVî‘çÜ167 : { 0.164228, 0.0504165 }
UVî‘çÜ168 : { 0.358977, 0.20544 }
UVî‘çÜ169 : { 0.379137, 0.234898 }
UVî‘çÜ170 : { 0.35124, 0.207373 }
UVî‘çÜ171 : { 0.797501, 0.530164 }
UVî‘çÜ172 : { 0.789376, 0.558886 }
UVî‘çÜ173 : { 0.764982, 0.533206 }
UVî‘çÜ174 : { 0.598742, 0.661476 }
UVî‘çÜ175 : { 0.647782, 0.656241 }
UVî‘çÜ176 : { 0.63992, 0.606107 }
UVî‘çÜ177 : { 0.210667, 0.212148 }
UVî‘çÜ178 : { 0.203233, 0.231585 }
UVî‘çÜ179 : { 0.195314, 0.216131 }
UVî‘çÜ180 : { 0.383994, 0.0373344 }
UVî‘çÜ181 : { 0.383638, 0.0259923 }
UVî‘çÜ182 : { 0.399511, 0.0333028 }
UVî‘çÜ183 : { 0.73994, 0.59172 }
UVî‘çÜ184 : { 0.728845, 0.554908 }
UVî‘çÜ185 : { 0.686512, 0.601981 }
UVî‘çÜ186 : { 0.383638, 0.0259923 }
UVî‘çÜ187 : { 0.383994, 0.0373344 }
UVî‘çÜ188 : { 0.367035, 0.0320845 }
UVî‘çÜ189 : { 0.332387, 0.119738 }
UVî‘çÜ190 : { 0.322743, 0.114879 }
UVî‘çÜ191 : { 0.33295, 0.095327 }
UVî‘çÜ192 : { 0.323993, 0.0598898 }
UVî‘çÜ193 : { 0.33157, 0.0704709 }
